"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Hypertensive Heart Disease","Cardiovascular","Volume -10%","45-59",7.60070223490058,6.71295767079977,8.55296761169086,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -10%","60-65",6.26523570994028,5.36638664014459,7.26954673336418,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -10%","15-29",10.603556422477,8.42477352218867,13.0627859481828,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -10%","30-44",13.0231911216878,10.3356784563474,15.9440595163975,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -10%","45-59",8.38988114956025,6.58265275157495,10.4195439018879,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -10%","60-65",1.60553433019048,1.2439128739118,2.04265016431171,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -10%","15-29",1.23870217234042,0.973644241794747,1.63796533192539,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -10%","30-44",6.52858361482207,5.18889060248801,8.36443664280905,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -10%","45-59",20.1756254284493,15.8473827902616,26.1750656226802,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -10%","60-65",8.76365766659936,6.52403043959656,11.842181549819,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -10%","15-29",0.011378618353407,-0.0353709176472155,0.19309843445863,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -10%","30-44",0.177786624461152,-0.250488410088571,1.4009103478524,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -10%","45-59",3.38554432077091,0.348782867987126,9.19452152018459,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -10%","60-65",-0.792878767685415,-2.80771787314907,2.96534812737779,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -10%","15-29",0.0973346506862524,0.0586591201883364,0.521392683373001,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -10%","30-44",0.512345534044888,0.322176541442241,1.12099671361312,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -10%","45-59",3.2034565059421,2.11670163130318,5.84558679689112,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -10%","60-65",2.37787587348212,1.44019923953345,4.1707300025538,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -10%","30-44",0.198319603948305,0.162333466390525,0.237670799211527,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -10%","45-59",2.12606979521594,1.71304230681616,2.57407513928242,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -10%","60-65",1.69900778699359,1.27347851272241,2.18160806661931,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -10%","15-29",0.0486886376324231,0.0375556351993426,0.062210711831106,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
