"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: complete shift","15-29",1.34276514678725,1.00006748092916,1.92539580101596,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: complete shift","30-44",10.7457560832229,9.03501087368936,13.7384735363788,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: complete shift","45-59",50.503709994287,42.4807120539804,63.9713795445329,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: complete shift","60-65",22.5057428039614,18.3988410124296,29.4527727629079,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: complete shift","15-29",0.595087365265825,0.41174084799464,1.11932935601884,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: complete shift","30-44",2.96403344192738,2.35209239991127,3.9691437855088,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: complete shift","45-59",14.9885708049267,11.6806050189164,19.7384938336217,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: complete shift","60-65",10.9110640212653,8.3601817959755,14.4181122624713,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: complete shift","15-29",273.742607818469,232.6351407217,312.864871469518,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: complete shift","30-44",292.239157404847,248.301434824337,331.152510137747,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: complete shift","45-59",232.393307929225,194.108623835579,269.407139868646,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: complete shift","60-65",58.9314289998429,48.3420327986613,70.5534004058979,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: complete shift","15-29",153.173792597557,124.127773660271,182.759019295487,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: complete shift","30-44",228.311533847001,184.62340796654,269.644995206208,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: complete shift","45-59",221.622380547177,177.744214650567,266.582855653912,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: complete shift","60-65",62.5531187119042,49.8916828319573,77.1164426137661,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: complete shift","15-29",499.123197365899,361.134301425743,641.899930555813,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: complete shift","30-44",580.054181056426,419.678481438142,738.115497221079,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: complete shift","45-59",339.829685531692,240.914110033223,445.930811132601,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: complete shift","60-65",61.2198012018514,43.122226100952,83.605316116472,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: complete shift","15-29",2.46640004695567,1.81935119848317,3.55643509551337,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: complete shift","30-44",19.7067556977076,16.4638967663049,25.2553657314593,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: complete shift","45-59",90.4624280345017,75.5672097334898,115.186355065986,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: complete shift","60-65",40.3551685537504,32.7747778363745,53.1469954184618,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: complete shift","15-29",1.0987131490913,0.759830323706539,1.83186040212029,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: complete shift","30-44",5.49021576082074,4.37355183261032,7.12633979342695,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: complete shift","45-59",27.7176278320846,21.5998698082344,35.8484358820457,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: complete shift","60-65",20.3286167800633,15.5732867381353,26.4830849772242,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: complete shift","15-29",542.362393679648,460.791075830156,619.95165163146,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: complete shift","30-44",578.836508569432,491.636007603789,656.198984335108,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: complete shift","45-59",459.993718643123,383.984587248897,533.588080860779,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: complete shift","60-65",116.74447293464,95.7330143666285,139.79481778389,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: complete shift","15-29",304.143954402673,246.142163073709,363.031158452111,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: complete shift","30-44",453.178216652525,366.089661097774,535.521504409685,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: complete shift","45-59",439.74516405943,352.339271977355,529.121811114283,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: complete shift","60-65",124.19913615151,98.952553923859,153.100613885455,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: complete shift","15-29",505.532089048475,367.019493308763,648.585875029816,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: complete shift","30-44",588.095594132539,426.758661196248,747.048809676857,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: complete shift","45-59",345.136619261383,245.778419018299,451.654643552567,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: complete shift","60-65",62.3101523223695,44.109743194459,84.7675105022441,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: complete shift","15-29",2.20502659571037,1.671729280937,3.26718387369951,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: complete shift","30-44",17.6039531414554,14.8781431448647,22.9879394328182,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: complete shift","45-59",80.0793601048171,67.5622100978081,104.975181805593,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: complete shift","60-65",33.0971888510422,26.447184334302,46.4116401635279,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: complete shift","15-29",1.08021618799014,0.746011292361106,1.85228773673187,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: complete shift","30-44",5.43189934931308,4.30329147280382,7.15546897612427,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: complete shift","45-59",28.0499859271374,21.6614245790485,36.7438990465503,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: complete shift","60-65",20.6734507525391,15.5938924415897,27.4226173058863,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: complete shift","15-29",549.081360241117,466.89468106117,627.015631744261,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: complete shift","30-44",586.548686294731,499.034306762707,664.514260096748,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: complete shift","45-59",466.807277622453,390.688330698549,540.691985315404,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: complete shift","60-65",118.615186610547,97.4939630370801,141.809182109895,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: complete shift","15-29",307.421566385387,249.425336023522,366.505942843505,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: complete shift","30-44",458.486665842904,371.426792034647,541.120221655086,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: complete shift","45-59",445.45689412378,357.889391889302,535.165983646118,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: complete shift","60-65",125.998015789205,100.662836229662,155.107396572077,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
