Year,disease,sex,age_group,AAF_pipeline,LL_pipeline,UL_pipeline,muertes_pipeline,att_mort_pipeline,att_mort_low_pipeline,att_mort_up_pipeline,AAF_jrt,LL_jrt,UL_jrt,muertes_jrt,att_mort_jrt,att_mort_low_jrt,att_mort_up_jrt,diff_AAF,diff_muertes,diff_att_mort
2018,Larynx Cancer,Female,30-44,0.10518820796273023,-0.09114227516560788,0.3204237112655156,0,0,-0,0,0.106,0.095,0.118,0,0,0,0,-8.117920372697623e-4,0,0
2018,Larynx Cancer,Female,45-59,0.09715488738450144,-0.14424140755129797,0.33730693846938126,2,0,-0,1,0.1,0.093,0.108,2,0,0,0,-0.0028451126154985656,0,0
2018,Larynx Cancer,Female,60+,0.09688872284463772,-0.1421691886120818,0.3385907508142578,22,2,-3,7,0.095,0.089,0.101,22,2,2,2,0.0018887228446377163,0,0
2018,Larynx Cancer,Male,15-29,0.16641033632616942,0.040617630002078034,0.31936605533565615,0,0,0,0,0.159,0.132,0.189,0,0,0,0,0.007410336326169414,0,0
2018,Larynx Cancer,Male,30-44,0.1896792309778351,0.06680770319686964,0.33538828525587044,2,0,0,1,0.178,0.146,0.211,2,0,0,0,0.011679230977835103,0,0
2018,Larynx Cancer,Male,45-59,0.18645599732947157,0.046198421584803785,0.3455673951268001,20,4,1,7,0.18,0.149,0.213,20,4,3,4,0.00645599732947158,0,0
2018,Larynx Cancer,Male,60+,0.1465185873669259,-0.043493840996083784,0.3535913012750816,98,14,-4,35,0.175,0.147,0.204,98,17,14,20,-0.028481412633074077,0,-3
2020,Larynx Cancer,Female,15-29,0.12678595079747088,-0.07508030699889857,0.3399973239525161,0,0,-0,0,0.122,0.108,0.137,0,0,0,0,0.004785950797470878,0,0
2020,Larynx Cancer,Female,30-44,0.11557282695045802,-0.0818593830677305,0.3267241243948912,0,0,-0,0,0.118,0.105,0.133,0,0,0,0,-0.0024271730495419724,0,0
2020,Larynx Cancer,Female,45-59,0.12315626018241232,-0.09389879182309219,0.35321642195191105,3,0,-0,1,0.112,0.102,0.123,3,0,0,0,0.011156260182412323,0,0
2020,Larynx Cancer,Female,60+,0.11070346714492853,-0.13555508102885938,0.3552287239199457,13,1,-2,5,0.105,0.098,0.113,13,1,1,1,0.005703467144928531,0,0
2020,Larynx Cancer,Male,15-29,0.17293259083040335,0.03904376639655604,0.3329196127817892,0,0,0,0,0.174,0.143,0.206,0,0,0,0,-0.0010674091695966337,0,0
2020,Larynx Cancer,Male,30-44,0.2125744441463059,0.08525051271865745,0.35985598247616496,1,0,0,0,0.203,0.166,0.242,1,0,0,0,0.0095744441463059,0,0
2020,Larynx Cancer,Male,45-59,0.21078314682844423,0.06507719977150342,0.3719509501412337,9,2,1,3,0.192,0.159,0.228,9,2,1,2,0.01878314682844423,0,0
2020,Larynx Cancer,Male,60+,0.17934353720795604,-0.0066855497098942335,0.37316083505212083,104,19,-1,39,0.184,0.155,0.216,104,19,16,22,-0.004656462792043958,0,0
2022,Larynx Cancer,Female,15-29,0.12337721399053707,-0.07291743137253585,0.3368489450748968,0,0,-0,0,0.118,0.105,0.132,0,0,0,0,0.005377213990537075,0,0
2022,Larynx Cancer,Female,30-44,0.13129108371766443,-0.07015778597402415,0.3451987131934105,1,0,-0,0,0.117,0.104,0.13,1,0,0,0,0.014291083717664424,0,0
2022,Larynx Cancer,Female,45-59,0.10929560197852134,-0.12367260522087034,0.35272685192007736,4,0,-0,1,0.106,0.097,0.114,4,0,0,0,0.0032956019785213425,0,0
2022,Larynx Cancer,Female,60+,0.10286777937355501,-0.13224990501997747,0.3409435684994239,20,2,-3,7,0.098,0.091,0.104,20,2,2,2,0.004867779373555009,0,0
2022,Larynx Cancer,Male,15-29,0.15568215656744336,0.009241682769718313,0.32746439003372413,0,0,0,0,0.154,0.129,0.182,0,0,0,0,0.0016821565674433603,0,0
2022,Larynx Cancer,Male,30-44,0.19145746072410894,0.055610725086458423,0.34919642614103624,2,0,0,1,0.194,0.159,0.23,2,0,0,0,-0.0025425392758910703,0,0
2022,Larynx Cancer,Male,45-59,0.18647292868532686,0.025973890416002943,0.3672174976802806,15,3,0,6,0.183,0.153,0.215,15,3,2,3,0.003472928685326865,0,0
2022,Larynx Cancer,Male,60+,0.17815037080453508,-0.022904678214604235,0.3863141467519161,113,20,-3,44,0.18,0.152,0.212,113,20,17,24,-0.0018496291954649136,0,0
2024,Larynx Cancer,Female,15-29,0.11101098448652555,-0.07188951761255742,0.3127077956874746,0,0,-0,0,0.1,0.09,0.111,0,0,0,0,0.011010984486525544,0,0
2024,Larynx Cancer,Female,30-44,0.1207197505135858,-0.09047052291689062,0.3430404311589449,0,0,-0,0,0.117,0.104,0.13,0,0,0,0,0.003719750513585793,0,0
2024,Larynx Cancer,Female,45-59,0.10319509032279653,-0.11254445066040795,0.3320229949099744,0,0,-0,0,0.101,0.093,0.111,0,0,0,0,0.0021950903227965224,0,0
2024,Larynx Cancer,Female,60+,0.10263877830814626,-0.13600249786434085,0.34745731712898265,21,2,-3,7,0.095,0.089,0.101,21,2,2,2,0.007638778308146257,0,0
2024,Larynx Cancer,Male,15-29,0.1398000491163643,-0.01724215523520904,0.3273756817747869,0,0,-0,0,0.148,0.125,0.173,0,0,0,0,-0.008199950883635704,0,0
2024,Larynx Cancer,Male,30-44,0.18456060435718774,0.0391269035706364,0.3500005162179033,1,0,0,0,0.179,0.148,0.211,1,0,0,0,0.005560604357187748,0,0
2024,Larynx Cancer,Male,45-59,0.17611658949966794,0.018608360420842022,0.3569732127945771,10,2,0,4,0.182,0.151,0.215,10,2,2,2,-0.005883410500332059,0,0
2024,Larynx Cancer,Male,60+,0.16197097038766056,-0.05811849969883388,0.3843579192484328,118,19,-7,45,0.172,0.148,0.2,118,20,17,24,-0.010029029612339424,0,-1
2012,Liver Cancer,Female,15-29,0.3656738982391422,0.17165018634211165,0.5506934033784633,0,0,0,0,0.362,0.342,0.381,0,0,0,0,0.003673898239142215,0,0
2012,Liver Cancer,Female,30-44,0.3806327604937217,0.1762960825325085,0.5664807430274613,10,4,2,6,0.38,0.36,0.399,10,4,4,4,6.327604937216846e-4,0,0
2012,Liver Cancer,Female,45-59,0.36361554522866135,0.16735452923810648,0.5476007175895801,68,25,11,37,0.36,0.339,0.379,68,24,23,26,0.0036155452286613654,0,1
2012,Liver Cancer,Female,60+,0.359721094533847,0.16182704714508656,0.5458633892537352,447,161,72,244,0.359,0.339,0.379,447,160,152,169,7.210945338469998e-4,0,1
2012,Liver Cancer,Male,15-29,0.23202388599633553,0.09545202353685375,0.3835374737744266,1,0,0,0,0.229,0.207,0.249,1,0,0,0,0.003023885996335518,0,0
2012,Liver Cancer,Male,30-44,0.26168025885351653,0.10948935441722499,0.42454014749724056,9,2,1,4,0.263,0.242,0.283,9,2,2,3,-0.0013197411464834774,0,0
2012,Liver Cancer,Male,45-59,0.29019970384445176,0.11795355256508107,0.4617766515314554,114,33,13,53,0.29,0.269,0.309,114,33,31,35,1.997038444517818e-4,0,0
