Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2020	Larynx Cancer	Female	60+	0.11070346714492853	-0.13555508102885938	0.3552287239199457	13	1	-2	5
2020	Larynx Cancer	Male	15-29	0.17293259083040335	0.03904376639655604	0.3329196127817892	0	0	0	0
2020	Larynx Cancer	Male	30-44	0.2125744441463059	0.08525051271865745	0.35985598247616496	1	0	0	0
2020	Larynx Cancer	Male	45-59	0.21078314682844423	0.06507719977150342	0.3719509501412337	9	2	1	3
2020	Larynx Cancer	Male	60+	0.17934353720795604	-0.0066855497098942335	0.37316083505212083	104	19	-1	39
2022	Larynx Cancer	Female	15-29	0.12337721399053707	-0.07291743137253585	0.3368489450748968	0	0	-0	0
2022	Larynx Cancer	Female	30-44	0.13129108371766443	-0.07015778597402415	0.3451987131934105	1	0	-0	0
2022	Larynx Cancer	Female	45-59	0.10929560197852134	-0.12367260522087034	0.35272685192007736	4	0	-0	1
2022	Larynx Cancer	Female	60+	0.10286777937355501	-0.13224990501997747	0.3409435684994239	20	2	-3	7
2022	Larynx Cancer	Male	15-29	0.15568215656744336	0.009241682769718313	0.32746439003372413	0	0	0	0
2022	Larynx Cancer	Male	30-44	0.19145746072410894	0.055610725086458423	0.34919642614103624	2	0	0	1
2022	Larynx Cancer	Male	45-59	0.18647292868532686	0.025973890416002943	0.3672174976802806	15	3	0	6
2022	Larynx Cancer	Male	60+	0.17815037080453508	-0.022904678214604235	0.3863141467519161	113	20	-3	44
2024	Larynx Cancer	Female	15-29	0.11101098448652555	-0.07188951761255742	0.3127077956874746	0	0	-0	0
2024	Larynx Cancer	Female	30-44	0.1207197505135858	-0.09047052291689062	0.3430404311589449	0	0	-0	0
2024	Larynx Cancer	Female	45-59	0.10319509032279653	-0.11254445066040795	0.3320229949099744	0	0	-0	0
2024	Larynx Cancer	Female	60+	0.10263877830814626	-0.13600249786434085	0.34745731712898265	21	2	-3	7
2024	Larynx Cancer	Male	15-29	0.1398000491163643	-0.01724215523520904	0.3273756817747869	0	0	-0	0
2024	Larynx Cancer	Male	30-44	0.18456060435718774	0.0391269035706364	0.3500005162179033	1	0	0	0
2024	Larynx Cancer	Male	45-59	0.17611658949966794	0.018608360420842022	0.3569732127945771	10	2	0	4
2024	Larynx Cancer	Male	60+	0.16197097038766056	-0.05811849969883388	0.3843579192484328	118	19	-7	45
2012	Liver Cancer	Female	15-29	0.3656738982391422	0.17165018634211165	0.5506934033784633	0	0	0	0
2012	Liver Cancer	Female	30-44	0.3806327604937217	0.1762960825325085	0.5664807430274613	10	4	2	6
2012	Liver Cancer	Female	45-59	0.36361554522866135	0.16735452923810648	0.5476007175895801	68	25	11	37
2012	Liver Cancer	Female	60+	0.359721094533847	0.16182704714508656	0.5458633892537352	447	161	72	244
2012	Liver Cancer	Male	15-29	0.23202388599633553	0.09545202353685375	0.3835374737744266	1	0	0	0
2012	Liver Cancer	Male	30-44	0.26168025885351653	0.10948935441722499	0.42454014749724056	9	2	1	4
2012	Liver Cancer	Male	45-59	0.29019970384445176	0.11795355256508107	0.4617766515314554	114	33	13	53
2012	Liver Cancer	Male	60+	0.30776365882657625	0.12873608138357992	0.4897521872239961	511	157	66	250
2014	Liver Cancer	Female	15-29	0.38586716299212526	0.18362266387291573	0.5668361194744665	4	2	1	2
2014	Liver Cancer	Female	30-44	0.38989470068876186	0.1850663185944131	0.5733704971863293	8	3	1	5
2014	Liver Cancer	Female	45-59	0.39447285474191285	0.18860411254042747	0.5799063905129297	60	24	11	35
2014	Liver Cancer	Female	60+	0.3767411543210273	0.17030568163915075	0.5677492719961055	510	192	87	290
2014	Liver Cancer	Male	15-29	0.26808713233903564	0.1161412564817525	0.4291835216737271	1	0	0	0
2014	Liver Cancer	Male	30-44	0.2714366274622042	0.11970216601885678	0.4333058762812585	10	3	1	4
2014	Liver Cancer	Male	45-59	0.316399413914647	0.13714046125947676	0.49432531197519547	88	28	12	44
2014	Liver Cancer	Male	60+	0.31706663802819735	0.1321178140043092	0.49224920964604985	532	169	70	262
2016	Liver Cancer	Female	15-29	0.37298743060287004	0.18172000406190783	0.5605607065062246	1	0	0	1
2016	Liver Cancer	Female	30-44	0.411491541999929	0.19790028642167615	0.5924267155159576	7	3	1	4
2016	Liver Cancer	Female	45-59	0.4190690317311426	0.19953256757742427	0.6038493807126332	77	32	15	46
2016	Liver Cancer	Female	60+	0.4202299091287891	0.19936737129190146	0.6062302448980746	513	216	102	311
2016	Liver Cancer	Male	15-29	0.27648806538738085	0.11634479822414137	0.44357627689263973	2	1	0	1
2016	Liver Cancer	Male	30-44	0.2956534759242687	0.12851194340238267	0.4643260913682535	10	3	1	5
2016	Liver Cancer	Male	45-59	0.3209209585191698	0.13895753040661135	0.4984951563092143	108	35	15	54
2016	Liver Cancer	Male	60+	0.3507506384743158	0.14103402543592258	0.5399129719340878	569	200	80	307
2018	Liver Cancer	Female	15-29	0.38951894873896714	0.18548802532593747	0.5729300652210525	2	1	0	1
2018	Liver Cancer	Female	30-44	0.4019200751386612	0.1904515513324865	0.5868376953326708	7	3	1	4
2018	Liver Cancer	Female	45-59	0.43159687640479827	0.19988565532767955	0.6167166219673288	59	25	12	36
2018	Liver Cancer	Female	60+	0.43248545777017083	0.20517182954229196	0.6182338297045524	528	228	108	326
2018	Liver Cancer	Male	15-29	0.27800379951010695	0.11108494996194429	0.4504996756467564	2	1	0	1
2018	Liver Cancer	Male	30-44	0.2857163329348901	0.12296266758803895	0.45804965734039044	11	3	1	5
2018	Liver Cancer	Male	45-59	0.31123657025774526	0.13471075900661686	0.48523233599871674	94	29	13	46
2018	Liver Cancer	Male	60+	0.34490127613356103	0.13575472180485024	0.5343069142934044	644	222	87	344
2020	Liver Cancer	Female	15-29	0.4157197725957803	0.19962490210350947	0.5989826351063111	1	0	0	1
2020	Liver Cancer	Female	30-44	0.40922095046113444	0.1984619387589518	0.5922554128849665	9	4	2	5
2020	Liver Cancer	Female	45-59	0.43033802532469717	0.2093403721395137	0.6174384476276003	68	29	14	42
2020	Liver Cancer	Female	60+	0.4504466926663045	0.22746998997824824	0.6333598625853785	591	266	134	374
2020	Liver Cancer	Male	15-29	0.29520523311944186	0.12245604551805699	0.4718609251623254	2	1	0	1
2020	Liver Cancer	Male	30-44	0.2987838880253996	0.13059677557495028	0.4719159529338237	14	4	2	7
2020	Liver Cancer	Male	45-59	0.3212819652503676	0.13677411948311563	0.503213214704699	105	34	14	53
2020	Liver Cancer	Male	60+	0.3537936954731714	0.14881248820076173	0.5359955548790082	673	238	100	361
2022	Liver Cancer	Female	15-29	0.4126023091796244	0.20019176620082338	0.5974351403461563	1	0	0	1
2022	Liver Cancer	Female	30-44	0.4193934492702105	0.20481665964465293	0.6025101988852868	5	2	1	3
2022	Liver Cancer	Female	45-59	0.4394579804589276	0.2183319647967218	0.6257701968702729	63	28	14	39
2022	Liver Cancer	Female	60+	0.43800011238980213	0.21984624405307063	0.6203223315809927	595	261	131	369
2022	Liver Cancer	Male	15-29	0.3051628868274052	0.1235701688075888	0.4821768938677493	5	2	1	2
2022	Liver Cancer	Male	30-44	0.3076831657148482	0.12881616329340712	0.482718678404376	12	4	2	6
2022	Liver Cancer	Male	45-59	0.3348046237980632	0.13798377911068044	0.5188930325757942	86	29	12	45
2022	Liver Cancer	Male	60+	0.37073444365696767	0.15869408544156458	0.5595441219534799	674	250	107	377
2024	Liver Cancer	Female	15-29	0.38620417695516474	0.1769029125494462	0.5720137441188252	0	0	0	0
2024	Liver Cancer	Female	30-44	0.4225380285402367	0.20342935873761547	0.6063413204925313	5	2	1	3
2024	Liver Cancer	Female	45-59	0.420168876986936	0.20293882938139873	0.6046835872635596	65	27	13	39
2024	Liver Cancer	Female	60+	0.43661897957169854	0.20844201626257997	0.6236984579793834	686	300	143	428
2024	Liver Cancer	Male	15-29	0.3117877966696872	0.1256998539778046	0.4957915779985602	3	1	0	1
2024	Liver Cancer	Male	30-44	0.3149417704715415	0.12936378259565215	0.4890973082480561	13	4	2	6
2024	Liver Cancer	Male	45-59	0.32639630403711717	0.13942149061488315	0.5105980288443794	111	36	15	57
2024	Liver Cancer	Male	60+	0.38010459799192187	0.15444042177668868	0.5695664952965787	805	306	124	459
2012	Oesophagus Cancer	Female	15-29	0.11378517715673987	-0.021634224168521562	0.271072323489177	0	0	-0	0
2012	Oesophagus Cancer	Female	30-44	0.08883141385264039	-0.06607876678008703	0.2624068341038823	3	0	-0	1
2012	Oesophagus Cancer	Female	45-59	0.10526732526823625	-0.03422166509490763	0.26145617724338954	14	1	-0	4
2012	Oesophagus Cancer	Female	60+	0.07431057614123025	-0.06896056035808103	0.2413567839626861	220	16	-15	53
2012	Oesophagus Cancer	Male	15-29	0.1584924959283599	0.0810868499334309	0.25471772446265656	0	0	0	0
